Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-08-23,1160.3,1160.0,1180.0,1147.85,1175.0,1171.45,1167.36,1426,1.66464895e+11,,799.0,0.5603
2010-08-24,1171.45,1171.0,1180.0,1155.0,1180.0,1162.35,1162.34,2091,2.43044975e+11,,1800.0,0.8608
2010-08-25,1162.35,1168.8,1168.8,1125.0,1165.0,1152.6,1144.46,4892,5.59870295e+11,,2709.0,0.5538
2010-08-26,1152.6,1148.0,1175.0,1140.0,1172.0,1168.8,1160.09,1826,2.1183309e+11,,1314.0,0.7196
2010-08-27,1168.8,1170.0,1185.0,1145.0,1160.0,1160.6,1158.64,1300,1.506234e+11,,853.0,0.6562
2010-08-30,1160.6,1159.0,1173.9,1136.6,1136.6,1143.9,1150.68,2193,2.52344125e+11,,1263.0,0.5759
2010-08-31,1143.9,1127.0,1144.95,1122.05,1129.9,1129.35,1133.79,1343,1.52267725e+11,,790.0,0.5882
2010-09-01,1129.35,1141.95,1145.0,1130.0,1135.05,1138.1,1138.93,377,42937505000.0,,233.0,0.618
2010-09-02,1138.1,1147.95,1148.0,1128.1,1137.55,1131.6,1137.87,10591,1.20511869e+12,,10225.0,0.9654
2010-09-03,1131.6,1139.95,1149.5,1120.0,1127.0,1130.05,1134.8,1734,1.96775035e+11,,881.0,0.5081
2010-09-06,1130.05,1133.0,1148.0,1133.0,1135.25,1136.0,1137.71,2109,2.3994228e+11,,1627.0,0.7715
2010-09-07,1136.0,1135.55,1145.95,1130.25,1130.25,1135.25,1136.97,2438,2.771928e+11,,1650.0,0.6768
2010-09-08,1135.25,1125.8,1164.95,1125.0,1135.0,1141.6,1148.11,18249,2.095192445e+12,,4205.0,0.2304
2010-09-09,1141.6,1155.0,1155.0,1136.2,1136.6,1142.5,1145.53,1144,1.31048635e+11,,741.0,0.6477
2010-09-13,1142.5,1150.0,1154.95,1112.05,1112.05,1115.75,1125.8,4650,5.2349811e+11,,3648.0,0.7845
2010-09-14,1115.75,1120.0,1124.9,1105.0,1114.95,1112.6,1114.59,2999,3.34265925e+11,,2324.0,0.7749
2010-09-15,1112.6,1117.95,1118.95,1096.7,1109.95,1110.25,1108.26,2497,2.76733445e+11,,1323.0,0.5298
2010-09-16,1110.25,1111.0,1135.0,1100.0,1130.0,1121.65,1116.87,2058,2.29851665e+11,,1667.0,0.81
2010-09-17,1121.65,1144.95,1145.0,1115.0,1119.05,1119.95,1130.33,2101,2.37482365e+11,,1208.0,0.575
2010-09-20,1119.95,1121.95,1130.55,1107.5,1110.0,1112.1,1114.62,1825,2.03418845e+11,,1460.0,0.8
2010-09-21,1112.1,1114.95,1120.05,1102.0,1120.0,1114.1,1110.94,3021,3.3561549e+11,,1781.0,0.5895
2010-09-22,1114.1,1105.05,1120.0,1105.05,1109.0,1110.15,1113.17,847,94285845000.0,,623.0,0.7355
2010-09-23,1110.15,1099.0,1129.85,1099.0,1126.95,1126.95,1119.88,852,95413925000.0,,657.0,0.7711
2010-09-24,1126.95,1132.3,1140.0,1118.0,1118.0,1121.0,1127.08,2094,2.3601013e+11,,1706.0,0.8147
2010-09-27,1121.0,1143.8,1143.8,1105.35,1110.0,1109.9,1114.8,2656,2.960922e+11,,1993.0,0.7504
2010-09-28,1109.9,1124.9,1125.0,1101.4,1102.0,1104.65,1112.26,3278,3.64598165e+11,,2125.0,0.6483
2010-09-29,1104.65,1114.95,1160.0,1105.0,1128.0,1127.0,1129.91,3981,4.49816035e+11,,2095.0,0.5262
2010-09-30,1127.0,1125.0,1143.0,1120.0,1125.0,1126.4,1129.67,1246,1.40757205e+11,,769.0,0.6172
2010-10-01,1126.4,1137.0,1150.0,1125.0,1136.15,1138.95,1136.21,3868,4.39484305e+11,,3251.0,0.8405
2010-10-04,1138.95,1145.0,1145.0,1129.0,1144.5,1139.65,1135.86,1495,1.69811665e+11,,1072.0,0.7171
2010-10-05,1139.65,1140.0,1148.0,1131.0,1146.95,1143.65,1138.27,1772,2.01700575e+11,,1298.0,0.7325
2010-10-06,1143.65,1125.0,1152.95,1125.0,1140.0,1139.35,1139.08,1248,1.4215768e+11,,1048.0,0.8397
2010-10-07,1139.35,1140.0,1154.45,1130.0,1147.0,1140.2,1137.43,1913,2.17590475e+11,,1577.0,0.8244
2010-10-08,1140.2,1125.1,1144.95,1125.1,1134.0,1139.65,1137.47,817,92931095000.0,,781.0,0.9559
2010-10-11,1139.65,935.0,1160.0,935.0,1144.6,1138.15,1136.91,957,1.0880257e+11,,728.0,0.7607
2010-10-12,1138.15,1130.0,1143.4,1130.0,1140.0,1139.65,1137.65,1019,1.1592617e+11,,727.0,0.7134
2010-10-13,1139.65,1154.45,1154.45,1136.0,1139.5,1139.5,1141.32,662,75555585000.0,,548.0,0.8278
2010-10-14,1139.5,1103.3,1155.0,1103.3,1141.3,1147.8,1149.43,2977,3.42186465e+11,,2254.0,0.7571
2010-10-15,1147.8,1131.0,1153.75,1131.0,1153.75,1142.2,1144.2,1643,1.87991845e+11,,1265.0,0.7699
2010-10-18,1142.2,1146.0,1149.4,1115.0,1123.0,1127.9,1136.67,3399,3.86354675e+11,,1285.0,0.3781
2010-10-19,1127.9,1130.0,1137.95,1126.0,1126.2,1128.4,1131.27,689,77944755000.0,,428.0,0.6212
2010-10-20,1128.4,1090.0,1165.0,1090.0,1136.75,1136.75,1141.21,2180,2.4878432e+11,,906.0,0.4156
2010-10-21,1136.75,1148.2,1149.95,1101.0,1125.0,1133.75,1136.83,1651,1.8768995e+11,,1129.0,0.6838
2010-10-22,1133.75,1148.0,1157.95,1136.75,1156.45,1152.65,1150.27,1547,1.779475e+11,,1212.0,0.7835
2010-10-25,1152.65,1157.9,1166.8,1145.25,1157.9,1157.35,1151.55,4280,4.92864195e+11,,2520.0,0.5888
2010-10-26,1157.35,1160.0,1160.0,1150.0,1160.0,1159.9,1155.61,1072,1.23881655e+11,,699.0,0.6521
2010-10-27,1159.9,1174.5,1174.5,1131.5,1155.0,1154.25,1152.81,1053,1.213904e+11,,798.0,0.7578
2010-10-28,1154.25,1155.0,1198.0,1155.0,1187.95,1180.05,1170.2,1336,1.56338415e+11,,833.0,0.6235
2010-10-29,1180.05,1161.35,1218.0,1161.35,1198.0,1195.7,1194.48,4166,4.9762139e+11,,2007.0,0.4818
2010-11-01,1195.7,1190.0,1239.0,1176.0,1210.0,1212.5,1214.83,6760,8.21225995e+11,,2413.0,0.357
2010-11-02,1212.5,1230.0,1230.0,1205.1,1230.0,1222.9,1222.62,1221,1.49281455e+11,,605.0,0.4955
2010-11-03,1222.9,1223.0,1249.0,1220.0,1240.6,1243.2,1236.94,1616,1.9989006e+11,,1204.0,0.745
2010-11-04,1243.2,1258.0,1278.9,1227.0,1270.0,1267.7,1253.84,2724,3.4154545e+11,,2071.0,0.7603
2010-11-05,1267.7,1295.9,1319.0,1268.0,1313.0,1307.45,1303.57,4808,6.26755985e+11,,3235.0,0.6728
2010-11-08,1307.45,1283.0,1347.9,1283.0,1335.0,1334.15,1328.91,5810,7.7209844e+11,,3260.0,0.5611
2010-11-09,1334.15,1346.0,1375.0,1340.0,1375.0,1364.3,1357.73,4174,5.66715135e+11,,2270.0,0.5438
2010-11-10,1364.3,1341.0,1533.5,1341.0,1450.0,1446.8,1413.94,8506,1.20269526e+12,,3968.0,0.4665
2010-11-11,1446.8,1446.8,1509.95,1430.0,1430.0,1443.35,1481.95,10103,1.49721364e+12,,5480.0,0.5424
2010-11-12,1443.35,1458.0,1460.0,1393.0,1411.0,1408.85,1422.39,5552,7.89708315e+11,,3668.0,0.6607
2010-11-15,1408.85,1393.0,1490.0,1392.25,1470.1,1470.0,1447.23,3299,4.77440285e+11,,1729.0,0.5241
2010-11-16,1470.0,1470.0,1500.0,1435.1,1450.0,1444.3,1466.17,2459,3.6053089e+11,,1450.0,0.5897
